mag_threshold,dir_threshold,sl_multiplier,tp_multiplier,regime,n_signals,n_trades,total_pnl,total_pnl_usd,win_rate,profit_factor,expectancy,sharpe,sortino,max_dd,calmar,avg_bars_held
0.3,0.55,0.75,2.0,False,142,63,-418.27000000000004,-836.5400000000001,0.2698412698412698,0.27331955037439865,-6.63920634920635,-4.59672456533596,-4.410090648767681,-436.3700000000005,-0.9585214382290248,4.587301587301587
0.3,0.55,0.75,3.0,False,142,59,-424.35999999999996,-848.7199999999999,0.2033898305084746,0.2911147119255636,-7.192542372881356,-4.767011451351007,-4.817908203239681,-451.5400000000003,-0.9398059972538417,6.9491525423728815
0.3,0.55,0.75,4.0,False,142,61,-403.19000000000005,-806.3800000000001,0.19672131147540983,0.3517428773554571,-6.6096721311475415,-4.248721036509673,-4.522248230676708,-474.34999999999997,-0.8499841888900602,7.131147540983607
0.3,0.55,0.75,5.0,False,142,58,-368.82,-737.64,0.1896551724137931,0.37501906359615705,-6.358965517241379,-3.924149724236147,-4.273174161079144,-466.55999999999995,-0.7905092592592593,8.172413793103448
0.3,0.55,1.0,2.0,False,142,53,-412.62000000000006,-825.2400000000001,0.3018867924528302,0.24287129802928556,-7.785283018867926,-5.002602934582175,-4.6996260375464,-413.3100000000003,-0.9983305509181964,5.547169811320755
0.3,0.55,1.0,3.0,False,142,50,-386.74999999999994,-773.4999999999999,0.24,0.3152079607627886,-7.7349999999999985,-4.69687894545942,-4.720026560046689,-421.22000000000025,-0.9181662789041349,8.28
0.3,0.55,1.0,4.0,False,142,50,-349.99999999999994,-699.9999999999999,0.24,0.3802786975228857,-6.999999999999999,-4.082218710635109,-4.271517248911032,-423.49,-0.8264657961226946,8.78
0.3,0.55,1.0,5.0,False,142,51,-342.79,-685.58,0.21568627450980393,0.4249454789464856,-6.721372549019608,-3.7901394776366,-4.209373867092301,-469.28,-0.7304594272076373,9.372549019607844
0.3,0.55,1.5,2.0,False,142,41,-297.63999999999993,-595.2799999999999,0.4146341463414634,0.37068673883626524,-7.25951219512195,-3.957902284837981,-3.6247526415004097,-304.7700000000003,-0.9766053089214805,7.512195121951219
0.3,0.55,1.5,3.0,False,142,40,-202.84999999999994,-405.6999999999999,0.375,0.5853857945835461,-5.071249999999998,-2.524542669541161,-2.568820540753434,-299.71000000000004,-0.6768209268959992,9.55
0.3,0.55,1.5,4.0,False,142,38,-230.01999999999992,-460.03999999999985,0.34210526315789475,0.4985940054495913,-6.05315789473684,-3.0610312868734457,-3.0674595948405585,-292.38,-0.7867159176414253,10.18421052631579
0.3,0.55,1.5,5.0,False,142,38,-231.76999999999998,-463.53999999999996,0.3157894736842105,0.5141497568338085,-6.099210526315789,-3.026282245105272,-3.1520065513816644,-315.13,-0.7354742487227492,11.210526315789474
